symbol	kidney_biopsy
PIN1P1	2
LRRC7-AS1	0
LRRC40	101
RN7SL242P	0
ANKRD13C	97
HHLA3-AS1	0
CTH	97
CHORDC1P5	314
CASP3P1	0
E2F2	1
ID3	497
EEF1A1P48	0
RPL11	2769
PITHD1	167
LYPLA2	119
GALE	21
SEPTIN14P12	0
MRPS21P3	0
THAP12P8	0
RFKP1	0
HNRNPA1P42	0
MIR3123	0
RPL36P6	74
APCS	1
CRPP1	0
CRP	0
DUSP23	241
FCRL6	3
SLAMF8	0
VSIG8	35
CFAP45	5
MIR4259	0
SLAMF9	0
SNHG28	0
MIR4254	0
ATP1A1	396
RNU6-817P	0
LINC01762	24
ZBTB41	232
EFNA4	6
EFNA4-EFNA3	0
EFNA3	5
EFNA1	924
SLC50A1	106
HMGN2P18	0
KRTCAP2	3
MIR92B	0
THBS3	6
MTX1P1	22
GBA1	51
SCAMP3	52
CLK2	103
HCN3	4
PKLR	7
RNU6-586P	0
RNU4ATAC4P	0
DNAJB6P4	0
RNU6-387P	2
RNU6-1031P	0
CR1L	1
CD46P1	0
CDCA4P3	0
CDCA4P4	0
CD34	49
LINC02767	0
OR10J6P	0
RNU6-828P	0
RNU6-37P	46
RN7SL731P	0
PGD	90
CENPS-CORT	0
CENPS	120
DFFA	206
NSA2P1	83
SNORA77	0
LAX1	1
RPL35AP5	1
SNRPE	280
KRT8P29	0
SMPDL3B	12
RN7SL559P	17
XKR8	21
FAM89A	71
MIR1182	0
C1orf131	136
LINC01144	4
TOE1	33
TESK2	24
PPIAP36	0
CCDC163	27
MMACHC	44
LINC02897	0
FGFR3P6	0
MIR3916	0
RNA5SP82	0
VN1R17P	0
GCSAML	1
OR2G2	0
OR2G3	0
OR3D1P	0
RNU6-991P	0
CHRM3-AS2	24
CHRM3-AS1	5
RPS7P5	0
ADH5P3	47
CHRM3	28
FAM102B	19
HENMT1	2
PRPF38B	1531
FNDC7	0
STXBP3	172
SPATA42	0
RANP5	0
TMEM167B-DT	13
TMEM167B	267
SCARNA2	0
DAP3	304
MSTO2P	0
SYT11	46
U4	0
KHDC4	318
SNORA80E	5
SCARNA4	0
MIR6738	0
ARHGEF2-AS2	1
ARHGEF2-AS1	0
SSR2	442
UBQLN4	26
RAB25	17
PMF1-BGLAP	0
BGLAP	0
SMG5	63
TMEM79	26
CCT3	1201
RHBG	12
MIR9-1	0
MEX3A	20
CYP4X1	32
CYP4Z1	4
TUBAP9	0
CYP4A22-AS1	13
MTND1P34	0
LINC00853	27
PDZK1IP1	2179
LINC01389	0
FOXE3	0
FOXD2-AS1	1
VHLL	0
LRRC52	0
IGSF3	248
GLUL	501
NTMT2	2
ELAVL4	1
COA6	204
CORT	1
AHCTF1	320
FRRS1	23
LRRC7	21
F13B	0
LEPR	91
PSMD4	540
TAGLN2	861
PEA15	585
H6PD	30
FOXD2	52
DDOST	103
PRG4	4
ST3GAL3	11
SLC1A7	4
ZNF692	20
FGGY	49
DISC1	15
PLA2G2F	0
OLFM3	0
PRXL2B	32
DPM3	166
RXFP4	1
GBP6	0
NPPB	3
SBF1P2	0
RNU5E-1	0
RNU5E-4P	0
