symbol	C2_72h_ctrl	C2_72h_bilirubin	UJ_24h_ctrl	UJ_24h_bilirubin	UJ_72h_ctrl	UJ_72h_bilirubin	C2_24h_ctrl	C2_24h_bilirubin
LIN28A	8.6114936098768	7.96502715183372	7.53471788508416	7.58983634175262	7.44867319580754	7.62360149099795	8.33920399029899	8.07691867757665
DHDDS	8.77771124578158	9.05738168864898	8.44574950291508	8.63918473156277	8.58599340483549	8.32316514591884	9.02915915145424	8.7598460656992
HMGN2	11.5707151873296	11.5543339394416	11.5989548216721	11.5445573717135	11.3472598824208	11.2837560135284	11.6853195955644	11.5803788420185
RPS6KA1	9.12808542770767	9.03987627653719	9.3359210493456	8.97536340937827	9.16668653292719	9.09364730648475	8.94705274284978	9.13189237435746
ARID1A	9.35622595109961	9.72343175447955	9.03485802890711	9.44390916794328	9.35021753421552	9.62584914707451	9.51996601762701	9.47417014276564
PIGV	7.11112065258667	7.0329119693653	6.810985614794	6.77865685334996	6.96745298367027	6.72139573537092	7.2993363827317	6.87570244459602
ZDHHC18	8.48727704473828	8.52762441211758	8.32366450433805	8.39235068443903	8.44405389094546	8.26512017140278	8.42048181661479	8.54262876411581
SFN	7.14021349028307	7.22264930753203	7.86788203786658	7.63963715149487	7.49279259518675	7.47328662634739	7.09921653592369	7.26930389935519
NUDC	9.28078335756952	9.18551349046145	9.07315053703549	9.31728989915318	9.19602259723237	9.27425480841158	9.20854942505044	9.2361296028932
TRNP1	7.02073582002081	7.15697004878059	6.95735777771487	7.11174379779832	6.75929464689987	6.91772333502631	7.22083159333654	6.97297738885039
WDTC1	9.00451356050034	9.07935080268739	8.70253450695272	8.58078882785228	8.83406965856799	8.54518711834564	9.0142453656172	9.03767538751767
TMEM222	8.21443452723522	8.17776246246244	8.29129162543789	8.27316960635067	8.49358094870985	7.9596261929978	8.32724995510576	8.10721295898857
SYTL1	7.32748940055966	7.01757872945287	7.35735298244432	7.10552505524556	6.8505742364442	6.88077972074614	7.26820219466911	6.96932059517422
GPR3	6.38147636728312	5.93927365947575	6.73528148773013	6.20705056470264	6.02459958013876	6.55355210949241	6.03288101400647	6.28905612000175
WASF2	7.98955972232471	8.01401260382753	7.32236815074854	7.9605267204691	7.44255074856748	7.2649868476074	8.04458370482537	7.92712159456727
FAM76A	6.75441020229613	6.77502837731688	6.47383847837408	6.54843436333441	6.3932516000592	6.63773420737601	6.75429217847975	6.82105135602421
STX12	9.39502993914541	9.41970147474683	9.63234483524616	9.50888750978918	9.65065284638257	9.45494043599534	9.37721702895766	9.56463694830196
PPP1R8	9.09580830367681	9.17341943500653	8.85169767748999	8.93600874759933	8.89462876752486	8.47499296321979	9.1196375722968	9.11237425017732
THEMIS2	6.57172795305249	6.79751765146049	6.96175218186522	7.00604240224482	6.86511738073099	6.7773463017021	6.73839186792719	6.58451335277956
SMPDL3B	6.91957785735471	6.54078605542126	6.96384019292347	6.74637924085952	6.71529492011318	6.85031247959538	6.83090214360995	6.56989916077843
XKR8	8.37409841200041	8.06359413661118	8.54377749847093	8.33876564944798	8.61916633534875	8.5448482836163	7.99265103559466	8.3480163190489
ATPIF1	10.0375514137572	9.97063184513644	9.94261052550379	9.82067420935831	9.83115208190243	9.91284881857654	10.0791714245575	9.99425667865774
SESN2	7.26658851468925	7.15255944743314	7.22355436205768	7.36320354526698	7.04037695885211	7.23964010934367	7.09570292054611	7.28375400089323
MED18	8.02393369976884	7.91897490648582	8.3639940445514	8.21788705293902	7.98887000599789	7.97759077587132	8.00954962622641	8.00313592513634
PHACTR4	8.51388123323404	8.51112961969587	7.84184138539939	8.39413365592028	8.40462482014213	8.39194335650622	8.50364136244015	8.4804123759394
RCC1	7.87673126889421	7.97651299653591	7.87329894581942	7.8004118166556	7.87341505594681	7.63922078642792	7.84095248665156	7.98662938627443
TRNAU1AP	6.84392536524052	7.34851314950343	7.00459640748164	7.30028940485135	7.02633863804345	6.97592646435458	7.25623162563556	7.12676918353589
RAB42	6.94857528706843	6.78660704047751	7.27385106630365	6.22700408377854	7.07136835386124	7.14527018364978	6.78565788107732	6.94327120618849
