symbol	UMK1_con_1	UMK1_con_2	UMK1_PAN_1	UMK1_PAN_2	SPH_1	SPH_2
UCK2	10.3724944673085	10.3949339839473	10.2861038292073	10.2617081421114	10.5662337308546	10.586825585215
POGK	9.5170485660039	9.45180238386573	9.80296339731749	9.96590265651231	9.65641709119418	9.79443949546911
MAEL	4.31636077121064	4.61209633532731	3.99188906225695	3.6013879123425	4.54442661196434	4.23970985111068
DUSP27	8.65964515678954	8.85530821248767	8.30757624824113	8.29183424117057	6.76171301596378	6.36082587724808
POU2F1	11.6196562536072	11.6868903740376	10.9543469434179	11.0228626279679	11.8367292132595	11.869894946445
RCSD1	6.11818453533515	5.70597776855095	5.58258394404525	5.4961258128605	5.59492031207848	5.62521764100015
MPZL1	11.2903615930905	11.3283923301622	11.4390742489536	11.5365473545955	11.3067626744634	11.301555499622
DCAF6	9.87433778119264	9.9591523228002	9.4738978073899	9.34621066311724	9.03515381152693	9.17876297710936
TIPRL	10.4191247899786	10.3798995978298	10.7130529651075	10.6688440623645	10.0950753646888	10.2913637928341
SFT2D2	9.82850189335804	10.0229127877576	10.0302413285069	10.0740292875348	10.0780271720797	9.9817479148582
TBX19	5.18630089762999	4.87334989515933	4.65596341324856	4.49022451466366	5.28269509272887	5.24469084983162
XCL1	3.85102418400686	4.06642294676711	4.14152495423888	4.79416692741429	4.05249424543693	3.97707775721235
ATP1B1	12.7451409401581	12.85477512282	12.4252215296418	12.4369993793221	12.0862441779298	12.1618006001486
BLZF1	10.2189628218369	10.2588744950846	10.5349733244829	10.3881657714512	10.3920925401435	10.3595587790351
C1orf112	7.89939884275835	7.99025825025048	7.01909530832483	7.28900073308108	9.0045175283682	8.95622697322268
METTL11B	5.20036037017181	4.98723257478925	5.35150158926464	5.31935903686768	4.89417252462788	4.82849994955442
GORAB	8.09815184371507	8.31180951754662	8.83524309840933	8.59683461226285	8.73113505616124	8.6551167276274
PRRX1	11.0868953709283	11.1779518780868	10.337059687553	10.3081734924304	10.789275606313	10.8495513467153
MROH9	4.20396435776097	3.92783143299909	3.83819607296742	4.00747363798767	3.48082534320216	3.58776859648144
FMO3	5.33027234342571	5.42551715405936	5.41020012105186	4.73423982441407	5.25932626178118	5.28215079343439
FMO6P	3.95398565221996	4.00879051583024	3.63568674684577	3.825119797018	3.48881259236746	3.74228048654679
FMO2	4.36331737033513	3.64803868115407	3.31627252212711	3.29065598917649	3.07080550625286	3.00078259697532
FMO1	9.83077884281166	9.94337353417075	8.19940444223438	8.30238375701362	6.45339508651189	6.53948673344215
FMO4	6.48220948923489	6.48294182072592	5.80571761369722	6.51334243116159	5.68638612857741	5.14343185057519
PRRC2C	10.8293523515574	10.8447460515471	10.8696372417357	10.7910084269027	10.8911132397902	11.0691534728503
METTL13	8.09486204121743	8.18995499719679	8.37662728802097	8.59844428295339	8.14305084723329	8.33189223374019
DNM3	9.47660553033525	9.68343465684589	8.40781410566695	8.30667146410262	8.40998335270515	8.65587276803462
C1orf105	7.7063772708606	7.94489397405793	7.55767509836216	7.11406409567993	3.42485346223893	3.92672477299984
SUCO	8.78800826732382	9.19496187143357	9.27144959595139	9.21439565094927	9.10586447164664	9.2923975256167
FASLG	4.76228375367065	4.60747875147954	4.53480843964814	4.51093445758307	4.98292731701948	4.72828038451539
PRDX6	12.4103336274843	12.4626886667561	12.414080067892	12.4709331269825	11.8763245366439	11.8481852223226
LOC730159	4.34957355705562	3.67637596857553	4.31836820043165	4.2242737393667	4.38974986621996	3.93296104523347
KLHL20	10.0868358218599	10.1671659456522	10.5121637996538	10.270741948229	10.163691226737	10.1822646264205
DARS2	9.12215166518074	9.24637020618248	8.73590874092972	8.76105778625775	9.39856443684553	9.49028227532857
ZBTB37	8.02744678609421	7.98613300965828	8.44414828581467	8.19441208804913	8.32385684632729	8.35257640185283
RABGAP1L	9.57052210066318	9.60357435553916	9.54184971059809	9.40320597177421	9.60051983896914	9.53198379250438
GPR52	4.31283759310171	4.64635713294951	4.86611433054353	5.39526858041467	6.11203338744035	5.89602955494297
CACYBP	11.494922036914	11.6011690481017	11.6012467763516	11.5246236479721	11.5806323586917	11.6987397585346
TNN	5.40120062080959	5.12961656777145	4.52135585298865	5.00041917306588	4.17848279816211	4.64258327185047
PAPPA2	7.17436459535855	7.55643614458041	5.18592117004774	5.73498801543132	6.69145774081261	6.95238188136823
BRINP2	7.84859202887672	7.9136260820385	7.43620946665517	7.44132877271588	6.77151185432235	6.55544893439072
RASAL2	9.78281275387975	9.76693743549261	9.45221416492538	9.44751087552054	9.97653604420782	10.1477241112836
RALGPS2	9.7793840849225	9.86885532389111	9.29494263117148	9.31376915909762	9.64354739282298	9.86431952386768
FAM20B	9.45371665437437	9.49610046297246	9.54958285080838	9.44548998920229	9.74064234782394	9.73494120314327
TOR3A	8.11695885950828	8.00523070007526	8.15818896881086	8.02056909334555	7.95476116442521	8.11438529338254
